created_at,full_text,translate,clean_tweet,lower,stopword,tokenize,stemmed,clean
Mon Mar 25 23:05:22 +0000 2024,@DedynurPalakka @psi_id Nalar caleg psi tanpa nyali dan suara,@Dedynurpalakka @psi_id PSI Candidate Reason Without Guts and Sound,PSI Candidate Reason Without Guts and Sound,psi candidate reason without guts and sound,psi candidate reason without guts sound,"['psi', 'candidate', 'reason', 'without', 'guts', 'sound']","['psi', 'candid', 'reason', 'without', 'gut', 'sound']",psi candid reason without gut sound
Mon Mar 25 23:05:18 +0000 2024,Kesalahan PSI yang fatal adalah mengalihkan dukungan dan mengangkat ketum instan. Kedua hal ini mengongirmasi tidak punya branding yang kuat dan konsisten.,PSI's fatal error is to divert support and lift instant ketum.These two things confirm that they have no strong and consistent branding.,PSI s fatal error is to divert support and lift instant ketum These two things confirm that they have no strong and consistent branding,psi s fatal error is to divert support and lift instant ketum these two things confirm that they have no strong and consistent branding,psi fatal error divert support lift instant ketum two things confirm strong consistent branding,"['psi', 'fatal', 'error', 'divert', 'support', 'lift', 'instant', 'ketum', 'two', 'things', 'confirm', 'strong', 'consistent', 'branding']","['psi', 'fatal', 'error', 'divert', 'support', 'lift', 'instant', 'ketum', 'two', 'thing', 'confirm', 'strong', 'consist', 'brand']",psi fatal error divert support lift instant ketum two thing confirm strong consist brand
Mon Mar 25 23:00:55 +0000 2024,@jakfar87 @mulanbilqis Iya bener dan sekarang PSI bisa masuk senayan sebage tukang bersih2 wc diDPR,@jakfar87 @mulanbilqis yes right and now psi can enter senayan sebage cleaning wc didp,yes right and now psi can enter senayan sebage cleaning wc didp,yes right and now psi can enter senayan sebage cleaning wc didp,yes right psi enter senayan sebage cleaning wc didp,"['yes', 'right', 'psi', 'enter', 'senayan', 'sebage', 'cleaning', 'wc', 'didp']","['ye', 'right', 'psi', 'enter', 'senayan', 'sebag', 'clean', 'wc', 'didp']",ye right psi enter senayan sebag clean wc didp
Mon Mar 25 23:00:25 +0000 2024,@psi_id Partai spesialis banjir,@psi_id Flood Specialist Party,Flood Specialist Party,flood specialist party,flood specialist party,"['flood', 'specialist', 'party']","['flood', 'specialist', 'parti']",flood specialist parti
Mon Mar 25 23:00:11 +0000 2024,@msaid_didu @psi_id Ini sebagai akibat perawatan yg sudah baik tetapi tidak diteruskan selama 5 tahun salah sopo,@msaid_didu @psi_id as a result of good care but not continued for 5 years wrong sopo,as a result of good care but not continued for  years wrong sopo,as a result of good care but not continued for  years wrong sopo,result good care continued years wrong sopo,"['result', 'good', 'care', 'continued', 'years', 'wrong', 'sopo']","['result', 'good', 'care', 'continu', 'year', 'wrong', 'sopo']",result good care continu year wrong sopo
Mon Mar 25 22:59:52 +0000 2024,@aly_benzema @psi_id @grace_nat @Giring_Ganesha @Uki23 PSI AKU SANGAT MUAK!,@aly_benzema @psi_id @grace_nat @giring_ganesha @uki23 psi I'm very fed up!,psi I m very fed up,psi i m very fed up,psi fed,"['psi', 'fed']","['psi', 'fed']",psi fed
Mon Mar 25 22:58:32 +0000 2024,@mohsen_lbs @DedynurPalakka @jayusman92 @psi_id Dia nggak ngerasa tertipu karena mata hatinya sudah tertutup lidah jilatannya,@mohsen_lbs @dedynurpalakka @jayusman92 @psi_id he doesn't feel fooled because his heart has covered his tongue licking,he doesn t feel fooled because his heart has covered his tongue licking,he doesn t feel fooled because his heart has covered his tongue licking,feel fooled heart covered tongue licking,"['feel', 'fooled', 'heart', 'covered', 'tongue', 'licking']","['feel', 'fool', 'heart', 'cover', 'tongu', 'lick']",feel fool heart cover tongu lick
Mon Mar 25 22:56:31 +0000 2024,@zaharchivez aamiin Allahuma aamiin semoga keterima ya kak. tolong doa nya juga kak supaya saya keterima psikologi ugm jalur snbt,@zaharchivez aamiin Allahumma aamiin hopefully is accepted sis.Please pray too sis so that I accept the Psychology of UGM SNBT pathway,aamiin Allahumma aamiin hopefully is accepted sis Please pray too sis so that I accept the Psychology of UGM SNBT pathway,aamiin allahumma aamiin hopefully is accepted sis please pray too sis so that i accept the psychology of ugm snbt pathway,aamiin allahumma aamiin hopefully accepted sis please pray sis accept psychology ugm snbt pathway,"['aamiin', 'allahumma', 'aamiin', 'hopefully', 'accepted', 'sis', 'please', 'pray', 'sis', 'accept', 'psychology', 'ugm', 'snbt', 'pathway']","['aamiin', 'allahumma', 'aamiin', 'hope', 'accept', 'si', 'pleas', 'pray', 'si', 'accept', 'psycholog', 'ugm', 'snbt', 'pathway']",aamiin allahumma aamiin hope accept si pleas pray si accept psycholog ugm snbt pathway
Mon Mar 25 22:56:17 +0000 2024,@eastswitzher pagi camaba psi ui,@eastswitzher Morning Camaba Psi Ui,Morning Camaba Psi Ui,morning camaba psi ui,morning camaba psi ui,"['morning', 'camaba', 'psi', 'ui']","['morn', 'camaba', 'psi', 'ui']",morn camaba psi ui
Mon Mar 25 22:55:45 +0000 2024,@aly_benzema @psi_id @grace_nat @Giring_Ganesha @Uki23 Heru hanya merusak jakarta,@aly_benzema @psi_id @grace_nat @giring_ganesha @uki23 Heru only ruin Jakarta,Heru only ruin Jakarta,heru only ruin jakarta,heru ruin jakarta,"['heru', 'ruin', 'jakarta']","['heru', 'ruin', 'jakarta']",heru ruin jakarta
Mon Mar 25 22:53:15 +0000 2024,@mulanbilqis Padahal PSI kampanye gede2an bahkan lebih marak dari parte gerindra berdagang menggeber nama wiwi disetiap kampanye tp hasilnya gk jauh beda sama perolehan yg lama malahan yg sekarang ini manen cibiran disukur2in krn stagnan suaranya. Kapok gak lu,"@mulanbilqis even though the PSI campaign is big, even more widespread than the Gerindra parte trading, the name of Wiwi in every campaign but the results are not much different from the old acquisition.Kapok or not",even though the PSI campaign is big even more widespread than the Gerindra parte trading the name of Wiwi in every campaign but the results are not much different from the old acquisition Kapok or not,even though the psi campaign is big even more widespread than the gerindra parte trading the name of wiwi in every campaign but the results are not much different from the old acquisition kapok or not,even though psi campaign big even widespread gerindra parte trading name wiwi every campaign results much different old acquisition,"['even', 'though', 'psi', 'campaign', 'big', 'even', 'widespread', 'gerindra', 'parte', 'trading', 'name', 'wiwi', 'every', 'campaign', 'results', 'much', 'different', 'old', 'acquisition']","['even', 'though', 'psi', 'campaign', 'big', 'even', 'widespread', 'gerindra', 'part', 'trade', 'name', 'wiwi', 'everi', 'campaign', 'result', 'much', 'differ', 'old', 'acquisit']",even though psi campaign big even widespread gerindra part trade name wiwi everi campaign result much differ old acquisit
Mon Mar 25 22:50:29 +0000 2024,@keepitseigi @psi_id Tuntut secara hukum....!!,@keepepseigi @psi_id demanded legally .... !!,demanded legally,demanded legally,demanded legally,"['demanded', 'legally']","['demand', 'legal']",demand legal
Mon Mar 25 22:49:22 +0000 2024,psi psiricooooooooo,PSI PSIRICOOOOOOOOO,PSI PSIRICOOOOOOOOO,psi psiricooooooooo,psi psiricooooooooo,"['psi', 'psiricooooooooo']","['psi', 'psiricooooooooo']",psi psiricooooooooo
Mon Mar 25 22:47:45 +0000 2024,@seaoflukey AAAMIINNN SEMOGA BIRUUU ,@seaoflukey aaamiinnn Hopefully BLUEUU,aaamiinnn Hopefully BLUEUU,aaamiinnn hopefully blueuu,aaamiinnn hopefully blueuu,"['aaamiinnn', 'hopefully', 'blueuu']","['aaamiinnn', 'hope', 'blueuu']",aaamiinnn hope blueuu
Mon Mar 25 22:47:35 +0000 2024,@ch_chotimah2 @Candra4smara DASAR TIDAK TAU MALU.....@psi_id,@ch_chotimah2 @candra4smara basic is not shame ..... @psi_id,basic is not shame id,basic is not shame id,basic shame id,"['basic', 'shame', 'id']","['basic', 'shame', 'id']",basic shame id
Mon Mar 25 22:47:26 +0000 2024,@nobl3pure Pak Jokowi gagal bawa PSI masuk DPR ...,@nobl3pure Mr. Jokowi failed to bring PSI into the DPR ...,Mr Jokowi failed to bring PSI into the DP,mr jokowi failed to bring psi into the dp,mr jokowi failed bring psi dp,"['mr', 'jokowi', 'failed', 'bring', 'psi', 'dp']","['mr', 'jokowi', 'fail', 'bring', 'psi', 'dp']",mr jokowi fail bring psi dp
Mon Mar 25 22:46:43 +0000 2024,@aly_benzema @psi_id @grace_nat @Giring_Ganesha @Uki23 Ini di banjirin supaya meyakinkan bahwa DKI sdh tdk layak jadi ibukota.. faham kan...,@aly_benzema @psi_id @grace_nat @giring_ganesha @uki23 was flooded in order to ensure that dki was not worthy of being the capital ..,was flooded in order to ensure that dki was not worthy of being the capital,was flooded in order to ensure that dki was not worthy of being the capital,flooded order ensure dki worthy capital,"['flooded', 'order', 'ensure', 'dki', 'worthy', 'capital']","['flood', 'order', 'ensur', 'dki', 'worthi', 'capit']",flood order ensur dki worthi capit
Mon Mar 25 22:42:25 +0000 2024,Klaim itu bisa saja untuk narik konstituen. Seperti klaim pendukung 01 bahwa Anies didukung Malaikat Jibril. Anies disebut imam Mahdi. Itu namanya klaim. Yg terpenting secara struktural @jokowi ga ada dalam kepengurusan @psi_id. Secara organisasi @psi_id bukan partai @jokowi.,The claim could have been to withdraw the constituents.Like the claim of supporting 01 that Anies was supported by Angel Gabriel.Anies is called Imam Mahdi.That's a claim.The most important thing is structural @jokowi is not in the management of @psi_id.Organizational @psi_id is not the @jokowi party.,The claim could have been to withdraw the constituents Like the claim of supporting  that Anies was supported by Angel Gabriel Anies is called Imam Mahdi That s a claim The most important thing is structuralis not in the management of id Organizationalis not theparty,the claim could have been to withdraw the constituents like the claim of supporting  that anies was supported by angel gabriel anies is called imam mahdi that s a claim the most important thing is structuralis not in the management of id organizationalis not theparty,claim could withdraw constituents like claim supporting anies supported angel gabriel anies called imam mahdi claim important thing structuralis management id organizationalis theparty,"['claim', 'could', 'withdraw', 'constituents', 'like', 'claim', 'supporting', 'anies', 'supported', 'angel', 'gabriel', 'anies', 'called', 'imam', 'mahdi', 'claim', 'important', 'thing', 'structuralis', 'management', 'id', 'organizationalis', 'theparty']","['claim', 'could', 'withdraw', 'constitu', 'like', 'claim', 'support', 'ani', 'support', 'angel', 'gabriel', 'ani', 'call', 'imam', 'mahdi', 'claim', 'import', 'thing', 'structurali', 'manag', 'id', 'organizationali', 'theparti']",claim could withdraw constitu like claim support ani support angel gabriel ani call imam mahdi claim import thing structurali manag id organizationali theparti
Mon Mar 25 22:09:46 +0000 2024,@DedynurPalakka @KangManto123 @psi_id mati duluan bajingan tololnya,@Dedynurpalakka @kangmanto123 @psi_id dead first bastard,dead first bastard,dead first bastard,dead first bastard,"['dead', 'first', 'bastard']","['dead', 'first', 'bastard']",dead first bastard
Mon Mar 25 22:07:46 +0000 2024,@DedynurPalakka @mulanbilqis @psi_id bajingan tolol itu menciptakan pemimpin monyet partai sempak merah atas nama bajingan tidak laku partai sempak merah bersama bajingan tolol2 8 berarti bajingan tolol https://t.co/7jnJO27PdX,@Dedynurpalakka @mulanbilqis @psi_id stupid bastard created the leader of the red party monkey in the name of the bastard not selling red party with a stupid bastard 8 means stupid bastard https://t.co/7jnjo27pdx,stupid bastard created the leader of the red party monkey in the name of the bastard not selling red party with a stupid bastard  means stupid bastard https t co jnjopdx,stupid bastard created the leader of the red party monkey in the name of the bastard not selling red party with a stupid bastard  means stupid bastard https t co jnjopdx,stupid bastard created leader red party monkey name bastard selling red party stupid bastard means stupid bastard https co jnjopdx,"['stupid', 'bastard', 'created', 'leader', 'red', 'party', 'monkey', 'name', 'bastard', 'selling', 'red', 'party', 'stupid', 'bastard', 'means', 'stupid', 'bastard', 'https', 'co', 'jnjopdx']","['stupid', 'bastard', 'creat', 'leader', 'red', 'parti', 'monkey', 'name', 'bastard', 'sell', 'red', 'parti', 'stupid', 'bastard', 'mean', 'stupid', 'bastard', 'http', 'co', 'jnjopdx']",stupid bastard creat leader red parti monkey name bastard sell red parti stupid bastard mean stupid bastard http co jnjopdx
Mon Mar 25 22:05:08 +0000 2024,@aly_benzema @psi_id @grace_nat @Giring_Ganesha @Uki23 Tugas sudah selesai partai udah KO yang dijelekin malah moncer kalo di jepang udah pada harakiri kalo mereka cukup cengar cengir nahan muka malu.,@aly_benzema @psi_id @grace_nat @giring_ganesha @uki23 The task has been completed by the party that is already tilted instead it is monger if in Japan it is already on the harakiri if they are quite grinned with a shame.,The task has been completed by the party that is already tilted instead it is monger if in Japan it is already on the harakiri if they are quite grinned with a shame,the task has been completed by the party that is already tilted instead it is monger if in japan it is already on the harakiri if they are quite grinned with a shame,task completed party already tilted instead monger japan already harakiri quite grinned shame,"['task', 'completed', 'party', 'already', 'tilted', 'instead', 'monger', 'japan', 'already', 'harakiri', 'quite', 'grinned', 'shame']","['task', 'complet', 'parti', 'alreadi', 'tilt', 'instead', 'monger', 'japan', 'alreadi', 'harakiri', 'quit', 'grin', 'shame']",task complet parti alreadi tilt instead monger japan alreadi harakiri quit grin shame
Mon Mar 25 22:04:22 +0000 2024,@rudysirwi @WGreborn Untuk PSI beda itu emang partai punya Wiwi dia andil besar dari awal pendiriannya.,@rudysirwi @wgreborn for a different PSI that the party has Wiwi he has a big hand from the beginning of his establishment.,for a different PSI that the party has Wiwi he has a big hand from the beginning of his establishment,for a different psi that the party has wiwi he has a big hand from the beginning of his establishment,different psi party wiwi big hand beginning establishment,"['different', 'psi', 'party', 'wiwi', 'big', 'hand', 'beginning', 'establishment']","['differ', 'psi', 'parti', 'wiwi', 'big', 'hand', 'begin', 'establish']",differ psi parti wiwi big hand begin establish
Mon Mar 25 22:03:44 +0000 2024,@strike_bravo_b Sus tuh keknya lagian gelora aja dikasih masa PSI gak,"@strike_bravo_b sus, it's just a pira",sus it s just a pira,sus it s just a pira,sus pira,"['sus', 'pira']","['su', 'pira']",su pira
Mon Mar 25 22:03:23 +0000 2024,@mulanbilqis PSI tdk akan viral tanpa Anies karena Anies lah ladang hujat mereka utk melambung...terbukti Heru tdk nambah elektabilitas dan apapun kesalahan Heru mereka acuh tanpa sepatah katapun terucap padahal alasannya partai yg kritis...eh ternyata betul saat ini kondisinya kritis,@mulanbilqis psi will not be viral without Anies because Anies is their blasphemous fields to soar ... Proven Heru does not add electability and whatever their mistakes they are indifferent without a word saying even though the reason is the critical party ... eh it turns out that the condition is now critical.,psi will not be viral without Anies because Anies is their blasphemous fields to soar Proven Heru does not add electability and whatever their mistakes they are indifferent without a word saying even though the reason is the critical party eh it turns out that the condition is now critical,psi will not be viral without anies because anies is their blasphemous fields to soar proven heru does not add electability and whatever their mistakes they are indifferent without a word saying even though the reason is the critical party eh it turns out that the condition is now critical,psi viral without anies anies blasphemous fields soar proven heru add electability whatever mistakes indifferent without word saying even though reason critical party turns condition critical,"['psi', 'viral', 'without', 'anies', 'anies', 'blasphemous', 'fields', 'soar', 'proven', 'heru', 'add', 'electability', 'whatever', 'mistakes', 'indifferent', 'without', 'word', 'saying', 'even', 'though', 'reason', 'critical', 'party', 'turns', 'condition', 'critical']","['psi', 'viral', 'without', 'ani', 'ani', 'blasphem', 'field', 'soar', 'proven', 'heru', 'add', 'elect', 'whatev', 'mistak', 'indiffer', 'without', 'word', 'say', 'even', 'though', 'reason', 'critic', 'parti', 'turn', 'condit', 'critic']",psi viral without ani ani blasphem field soar proven heru add elect whatev mistak indiffer without word say even though reason critic parti turn condit critic
Mon Mar 25 22:03:16 +0000 2024,@mulanbilqis @DedynurPalakka @psi_id bajingan tidak laku buktinya sempak merah hancur juga hanya gentong babi presidennya 2m0nyet4 https://t.co/ZrWSu3VmpG,"@mulanbilqis @dedynurpalakka @psi_id bajingan does not sell proof that the red sempak is also destroyed, only the presidential pork gentong is 2m0nyet4 https://t.co/zrwsu3vmpg",bajingan does not sell proof that the red sempak is also destroyed only the presidential pork gentong is mnyet https t co zrwsuvmpg,bajingan does not sell proof that the red sempak is also destroyed only the presidential pork gentong is mnyet https t co zrwsuvmpg,bajingan sell proof red sempak also destroyed presidential pork gentong mnyet https co zrwsuvmpg,"['bajingan', 'sell', 'proof', 'red', 'sempak', 'also', 'destroyed', 'presidential', 'pork', 'gentong', 'mnyet', 'https', 'co', 'zrwsuvmpg']","['bajingan', 'sell', 'proof', 'red', 'sempak', 'also', 'destroy', 'presidenti', 'pork', 'gentong', 'mnyet', 'http', 'co', 'zrwsuvmpg']",bajingan sell proof red sempak also destroy presidenti pork gentong mnyet http co zrwsuvmpg
Mon Mar 25 22:03:15 +0000 2024,@dapitnih Bersukur Menjenangkan Hati agar Kuat . Tapi Mercy semakin Tahun (Pileg ) Semakin Down . Apakah Akan Njusul P3 PSI . Alhamdulillah ... Gusti ,@dapitnih is grateful to calm the heart to be strong.But Mercy is getting more and more down.Will the Njusul P3 PSI.Alhamdulillah ... Gusti,is grateful to calm the heart to be strong But Mercy is getting more and more down Will the Njusul P PSI Alhamdulillah Gusti,is grateful to calm the heart to be strong but mercy is getting more and more down will the njusul p psi alhamdulillah gusti,grateful calm heart strong mercy getting njusul p psi alhamdulillah gusti,"['grateful', 'calm', 'heart', 'strong', 'mercy', 'getting', 'njusul', 'p', 'psi', 'alhamdulillah', 'gusti']","['grate', 'calm', 'heart', 'strong', 'merci', 'get', 'njusul', 'p', 'psi', 'alhamdulillah', 'gusti']",grate calm heart strong merci get njusul p psi alhamdulillah gusti
